City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Bambous Virieux,MU,-20.34,57.76,1594685118,40,88,70.0,5.82
Saint-Pierre,RE,-21.34,55.48,1594685118,20,68,68.0,8.05
Biltine,TD,14.53,20.92,1594685119,29,46,85.89,5.73
Honningsvåg,NO,70.98,25.97,1594685119,17,87,46.11,8.61
Madang,PG,-5.22,145.8,1594685119,74,76,82.54,3.58
Torbay,CA,47.67,-52.73,1594685119,90,94,70.0,14.99
Tuktoyaktuk,CA,69.45,-133.04,1594685120,40,63,62.6,6.93
Pisco,PE,-13.7,-76.22,1594685120,90,87,60.8,4.7
Yangi Marg`ilon,UZ,40.43,71.72,1594685120,80,49,73.4,2.24
Pacific Grove,US,36.62,-121.92,1594684907,90,72,62.6,12.75
La Palma,US,33.85,-118.05,1594685121,20,48,84.99,10.29
Flinders,AU,-34.58,150.86,1594685121,100,84,55.99,10.0
Aripuanã,BR,-9.17,-60.63,1594685121,39,57,79.39,1.14
Saldanha,ZA,-33.01,17.94,1594685122,68,81,50.0,10.29
Barcelos,PT,41.54,-8.62,1594685122,1,68,81.0,5.82
Hobart,AU,-42.88,147.33,1594685078,75,81,45.0,6.93
Kaitangata,NZ,-46.28,169.85,1594685123,77,74,46.99,5.99
Qaanaaq,GL,77.48,-69.36,1594685123,0,65,44.62,7.67
Morondava,MG,-20.28,44.28,1594685124,0,76,66.63,9.78
Saint George,US,37.1,-113.58,1594684880,1,10,108.0,17.22
Umm Kaddadah,SD,13.6,26.69,1594685125,0,46,85.55,17.38
Hithadhoo,MV,-0.6,73.08,1594685125,83,75,84.51,8.37
Saint-Philippe,RE,-21.36,55.77,1594685125,20,68,68.0,8.05
Eydhafushi,MV,5.1,73.07,1594685125,52,67,83.82,4.68
Avarua,CK,-21.21,-159.78,1594684929,90,60,73.4,9.17
Mount Isa,AU,-20.73,139.5,1594685126,58,33,59.0,13.87
Bonaventure,CA,48.05,-65.49,1594685126,40,68,71.6,5.82
Atuona,PF,-9.8,-139.03,1594685127,25,78,79.18,19.01
Saskylakh,RU,71.92,114.08,1594685127,86,63,63.59,12.5
Kasempa,ZM,-13.46,25.83,1594685127,0,57,52.99,4.16
Kanturk,IE,52.17,-8.9,1594685127,75,87,55.4,13.87
Talnakh,RU,69.49,88.4,1594685128,75,93,53.6,2.24
Cherskiy,RU,68.75,161.3,1594685128,19,54,64.71,2.57
Tommot,RU,58.96,126.29,1594685129,88,67,77.74,3.02
Tilichiki,RU,60.47,166.1,1594685129,100,86,54.07,6.87
Kapaa,US,22.08,-159.32,1594685129,75,78,80.6,13.87
Inhambane,MZ,-23.86,35.38,1594685129,0,72,61.88,11.56
Mahébourg,MU,-20.41,57.7,1594685130,40,88,69.8,5.82
Almaş,RO,46.28,22.23,1594685130,5,83,51.24,2.71
Mar del Plata,AR,-38.0,-57.56,1594685130,20,65,42.01,11.41
Champasak,LA,14.75,106.0,1594685130,99,98,74.37,2.15
Port Hedland,AU,-20.32,118.57,1594685131,52,29,62.6,9.17
Broome,US,42.25,-75.83,1594685131,75,64,72.0,12.75
Quatre Cocos,MU,-20.21,57.76,1594685131,40,88,70.0,5.82
Norman Wells,CA,65.28,-126.83,1594685131,75,40,73.4,4.7
Cayenne,GF,4.93,-52.33,1594685132,44,88,80.6,2.24
Coahuayana Viejo,MX,18.73,-103.68,1594685132,40,74,80.6,4.52
Ilulissat,GL,69.22,-51.1,1594685132,100,70,46.4,0.22
Fallon,US,39.47,-118.78,1594685132,20,7,98.6,8.05
Grindavik,IS,63.84,-22.43,1594685133,75,87,50.0,3.36
Esna,EG,25.29,32.55,1594685133,0,37,84.2,4.7
Del Rio,US,29.36,-100.9,1594685133,1,13,109.4,14.99
Lebu,CL,-37.62,-73.65,1594685134,0,76,48.16,3.27
Tuatapere,NZ,-46.13,167.68,1594685134,43,83,39.0,3.0
Banjar,ID,-8.19,114.97,1594685134,75,100,80.6,13.87
Kavieng,PG,-2.57,150.8,1594685135,100,74,83.14,9.17
Nuristan,AF,35.3,70.83,1594685010,55,80,39.92,1.57
Hasaki,JP,35.73,140.83,1594685135,75,100,72.0,6.93
Hokitika,NZ,-42.72,170.97,1594685135,43,64,52.21,4.52
Souillac,MU,-20.52,57.52,1594685135,40,88,69.8,5.82
Urusha,RU,54.05,122.9,1594685136,75,44,84.69,0.94
Puerto Nariño,CO,-3.77,-70.38,1594685136,40,88,82.4,3.36
Westport,US,41.14,-73.36,1594684982,1,39,84.2,11.41
Novonikolsk,RU,43.85,131.86,1594685137,90,77,68.0,2.24
Bethel,US,41.37,-73.41,1594685137,1,57,80.01,5.82
Aasiaat,GL,68.71,-52.87,1594685137,90,91,39.49,13.18
Metro,ID,-5.11,105.31,1594684980,93,91,75.45,3.04
Ostrovnoy,RU,68.05,39.51,1594685139,79,87,43.99,3.67
Okahandja,NA,-21.98,16.92,1594685140,0,14,51.8,4.7
Piaçabuçu,BR,-10.41,-36.43,1594685140,0,86,74.16,5.99
Provideniya,RU,64.38,-173.3,1594685140,94,71,51.8,13.42
New Norfolk,AU,-42.78,147.06,1594685141,7,92,43.0,1.77
Gizo Government Station,SB,-8.1,156.84,1594685141,96,69,83.95,5.75
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,1594685141,0,64,55.99,1.99
Saint Paul Harbor,US,57.79,-152.41,1594685141,98,94,52.68,13.58
Iqaluit,CA,63.75,-68.51,1594685018,20,34,64.4,14.99
Yellowknife,CA,62.46,-114.35,1594685142,90,100,59.0,16.11
São Filipe,CV,14.9,-24.5,1594685142,55,84,78.24,4.07
San Ignacio,BZ,17.16,-89.07,1594685004,20,88,84.0,7.38
Avera,US,33.19,-82.53,1594685142,40,49,91.4,4.7
City of San Pedro,PH,14.35,121.02,1594685057,100,88,84.99,2.24
Castro,BR,-24.79,-50.01,1594685143,20,86,62.42,5.35
Nyazepetrovsk,RU,56.05,59.6,1594685144,8,78,61.09,2.21
Lincoln,US,40.8,-96.67,1594684898,1,49,89.6,21.92
Chahuites,MX,16.28,-94.18,1594685144,18,78,83.88,5.35
Panjāb,AF,34.39,67.02,1594685145,1,63,49.78,2.86
Lata,PT,40.16,-8.33,1594685145,0,73,71.01,1.01
Sergeevka,KZ,53.88,67.42,1594685145,0,75,64.36,2.08
Río Gallegos,AR,-51.62,-69.22,1594685145,75,95,33.8,11.41
Kahului,US,20.89,-156.47,1594685101,40,40,89.6,19.46
Luganville,VU,-15.53,167.17,1594685146,75,74,80.6,10.83
Vestmannaeyjar,IS,63.44,-20.27,1594685146,100,85,51.44,2.8
Qiyang,CN,26.59,111.85,1594685146,57,83,81.5,2.66
Henties Bay,NA,-22.12,14.28,1594685147,0,92,53.01,1.99
Geraldton,AU,-28.77,114.6,1594685148,75,87,60.8,16.11
Lüderitz,NA,-26.65,15.16,1594684943,0,71,55.4,16.11
Karratha,AU,-20.74,116.85,1594685148,3,38,68.56,10.83
Barrow,US,71.29,-156.79,1594684957,90,80,39.2,11.41
Aswān,EG,24.09,32.91,1594685014,0,19,82.4,9.08
Kumul,CN,42.8,93.45,1594685149,0,30,74.75,8.08
Suwałki,PL,54.11,22.93,1594685149,3,96,48.2,5.73
San Vicente,AR,-26.62,-54.13,1594685149,99,99,54.28,7.29
Poum,NC,-20.23,164.02,1594685150,94,78,73.51,19.28
Swan River,CA,52.11,-101.27,1594685150,52,82,65.07,11.68
Itarema,BR,-2.92,-39.92,1594685150,62,72,76.69,11.1
Yenagoa,NG,4.92,6.26,1594685150,100,91,74.84,5.73
Maţāy,EG,28.42,30.78,1594685151,0,57,76.3,12.21
Tecolotlán,MX,20.22,-104.05,1594685151,42,55,79.86,7.14
Kaiyuan,CN,23.7,103.3,1594685151,83,82,67.69,2.04
Hilo,US,19.73,-155.09,1594684982,1,58,84.2,8.05
Dunedin,NZ,-45.87,170.5,1594685152,49,68,46.99,3.0
Kita,ML,13.03,-9.49,1594685152,100,90,72.37,1.7
Mafeteng,LS,-29.82,27.24,1594685152,18,80,37.56,6.53
Sisimiut,GL,66.94,-53.67,1594685152,69,82,44.56,11.74
Port Alfred,ZA,-33.59,26.89,1594685153,26,45,55.72,26.15
Kismayo,SO,-0.36,42.55,1594685153,51,80,77.65,15.79
East London,ZA,-33.02,27.91,1594685153,7,42,58.59,25.57
Mata,PT,40.68,-7.46,1594685153,0,85,64.99,3.33
Alice Springs,AU,-23.7,133.88,1594685133,0,56,52.0,11.5
Chui,UY,-33.7,-53.46,1594685154,1,74,38.62,9.75
Qasigiannguit,GL,68.82,-51.19,1594685154,100,70,46.4,2.62
Thunder Bay,CA,48.4,-89.32,1594685155,75,56,73.4,10.29
Haines Junction,CA,60.75,-137.51,1594685155,100,37,63.0,8.46
Fortuna,US,40.6,-124.16,1594685158,20,67,66.0,18.34
Tokonou,GN,9.65,-9.78,1594685159,100,98,70.23,2.04
Bengkulu,ID,-3.8,102.27,1594685118,97,86,75.74,3.94
Tiznit Province,MA,29.58,-9.5,1594685159,1,50,74.25,1.41
Beloha,MG,-25.17,45.05,1594685159,0,93,58.6,2.39
Radomsko,PL,51.07,19.44,1594685160,1,85,52.0,55.99
Port Elizabeth,ZA,-33.92,25.57,1594685160,50,51,53.51,20.33
Karangampel,ID,-6.46,108.45,1594685160,11,80,78.87,7.99
Sitka,US,57.05,-135.33,1594685160,90,76,57.2,11.41
Kloulklubed,PW,7.04,134.26,1594685160,90,88,78.8,16.11
Faanui,PF,-16.48,-151.75,1594685161,100,80,78.69,14.74
Nikolskoye,RU,59.7,30.79,1594685161,1,81,52.0,4.47
Nome,US,64.5,-165.41,1594685161,1,76,61.0,18.34
Arroyo de la Encomienda,ES,41.61,-4.8,1594685162,0,67,63.0,10.29
Gornopravdinsk,RU,60.05,69.9,1594685162,33,81,56.61,3.49
Kenai,US,60.55,-151.26,1594685163,75,48,66.2,9.17
Sulina,RO,45.16,29.65,1594685163,0,70,61.29,14.0
Caraballeda,VE,10.61,-66.85,1594685164,75,88,80.6,4.7
Kashgar,CN,39.45,75.98,1594685164,20,46,69.8,2.24
Hoquiam,US,46.98,-123.89,1594685164,1,63,70.0,14.99
Ullapool,GB,57.9,-5.16,1594685165,99,94,52.0,4.0
Parintins,BR,-2.63,-56.74,1594685165,36,76,77.88,2.01
Balikpapan,ID,-1.27,116.83,1594685081,49,88,77.5,5.3
Dingle,PH,11.0,122.67,1594685165,100,81,81.12,0.49
Airai,TL,-8.93,125.41,1594685165,39,68,62.4,5.35
Kochubey,RU,44.39,46.58,1594685166,93,64,77.54,12.35
Banff,CA,51.18,-115.57,1594685166,85,65,57.0,5.01
Vao,NC,-22.67,167.48,1594685166,100,76,72.81,14.72
Bay Roberts,CA,47.6,-53.26,1594685166,15,1,70.0,11.43
Bubaque,GW,11.28,-15.83,1594685167,100,85,80.42,16.73
Lubango,AO,-14.92,13.49,1594685167,0,35,55.26,4.88
Malumfashi,NG,11.79,7.62,1594685167,16,84,73.2,10.27
Hofn,IS,64.25,-15.21,1594685167,95,81,50.68,4.21
Carutapera,BR,-1.2,-46.02,1594685168,34,93,74.91,5.91
Ixtapa,MX,20.7,-105.2,1594685168,75,70,87.01,10.29
Wagar,SD,16.15,36.2,1594685168,2,49,87.24,22.3
Vólakas,GR,41.32,24.0,1594685169,72,73,68.0,1.01
São Sebastião,BR,-23.76,-45.41,1594685169,54,83,69.91,3.76
Comodoro Rivadavia,AR,-45.87,-67.5,1594685169,0,59,35.6,8.05
Polunochnoye,RU,60.87,60.42,1594685170,90,78,54.03,2.48
Carnarvon,AU,-24.87,113.63,1594685170,40,100,60.8,6.93
Qazvin,IR,36.28,50.0,1594685170,3,68,66.2,3.49
Poplar Bluff,US,36.76,-90.39,1594685170,1,40,89.6,8.05
Lavrentiya,RU,65.58,-171.0,1594685171,85,71,48.06,6.49
North Bend,US,43.41,-124.22,1594685073,1,72,75.0,26.4
Acapulco de Juárez,MX,16.86,-99.89,1594685042,5,70,86.0,8.05
Phan Thiet,VN,10.93,108.1,1594685158,100,83,78.58,6.42
Lompoc,US,34.64,-120.46,1594685171,4,72,66.0,16.11
Tchibanga,GA,-2.85,11.03,1594685172,93,96,65.8,1.9
Tabou,CI,4.42,-7.35,1594685172,100,80,75.96,10.87
Mehamn,NO,71.04,27.85,1594685172,57,86,45.18,3.38
Guerrero Negro,MX,27.98,-114.06,1594685172,1,46,79.77,19.84
Bowen,AU,-20.02,148.23,1594685173,60,67,66.0,3.36
Atar,MR,20.52,-13.05,1594685173,6,13,96.17,5.82
Rawson,AR,-43.3,-65.1,1594685173,0,70,39.02,18.54
Komarichi,RU,52.42,34.79,1594685173,100,87,58.14,12.77
Ribeira Grande,PT,38.52,-28.7,1594685174,5,82,68.68,13.53
Fairbanks,US,64.84,-147.72,1594685019,75,68,64.4,13.87
Salalah,OM,17.02,54.09,1594685174,90,100,80.6,6.93
Christchurch,NZ,-43.53,172.63,1594685161,0,81,46.0,4.7
Thompson,CA,55.74,-97.86,1594685088,75,93,62.6,4.7
Chhindwāra,IN,22.07,78.93,1594685176,81,83,75.45,4.5
Upernavik,GL,72.79,-56.15,1594685176,70,88,40.82,13.87
Panzhihua,CN,26.59,101.71,1594685176,100,81,71.87,0.81
Prince Rupert,CA,54.32,-130.32,1594685176,1,72,62.6,5.82
Río Cuarto,AR,-33.13,-64.35,1594685148,0,80,41.0,1.54
Pitimbu,BR,-7.47,-34.81,1594685177,46,88,75.2,4.7
Novobirilyussy,RU,56.95,90.67,1594685177,98,78,63.55,0.58
Katherine,AU,-14.47,132.27,1594685175,35,21,62.6,12.75
Lagoa,PT,39.05,-27.98,1594685177,6,83,68.92,11.97
Touros,BR,-5.2,-35.46,1594684995,6,94,69.8,3.36
Rundu,NA,-17.93,19.77,1594685178,0,38,46.87,4.03
Mikhaylovskoye,RU,51.82,79.72,1594685178,86,86,60.82,6.35
Ritchie,ZA,-29.04,24.6,1594685179,36,70,39.2,3.36
Casas Grandes,MX,30.37,-107.95,1594685179,32,32,86.11,20.71
Pontianak,ID,-0.03,109.33,1594685179,99,92,76.24,3.38
Mayumba,GA,-3.43,10.66,1594685179,53,89,70.16,3.53
Catió,GW,11.28,-15.25,1594685180,100,90,77.68,8.66
Hong Kong,HK,22.29,114.16,1594684881,5,79,88.0,8.99
Emba,KZ,48.83,58.14,1594685180,11,32,77.95,11.7
Pánuco,MX,22.05,-98.17,1594685181,5,74,86.0,11.41
Zhoucheng,CN,35.91,116.31,1594685181,99,43,80.01,4.18
Tiksi,RU,71.69,128.87,1594685181,99,96,41.56,9.37
Kano,NG,12.0,8.52,1594685181,40,94,73.4,6.93
Los Llanos de Aridane,ES,28.66,-17.92,1594685182,3,73,71.6,14.99
Asău,RO,46.43,26.4,1594685182,6,78,52.0,3.6
Puerto del Rosario,ES,28.5,-13.86,1594685182,14,78,71.6,18.34
Saint Anthony,US,45.02,-93.22,1594685183,75,54,84.2,18.34
Kapoeta,SS,4.77,33.59,1594685183,99,71,74.14,3.91
Zhigansk,RU,66.77,123.37,1594685183,1,65,66.4,0.47
Paita,PE,-5.09,-81.11,1594685184,26,85,63.93,16.44
Saint-François,FR,46.42,3.91,1594685184,74,62,60.01,1.86
Porto Santo,PT,33.07,-16.34,1594685184,75,77,69.8,13.87
Clarence Town,AU,-32.58,151.78,1594685185,75,82,59.0,26.4
Faya,SA,18.39,42.45,1594685185,64,56,71.6,6.93
Sarkand,KZ,45.41,79.92,1594685185,0,50,60.55,1.45
Havøysund,NO,71.0,24.66,1594685185,0,81,46.4,11.41
Bandarbeyla,SO,9.49,50.81,1594685185,49,68,78.84,27.65
Kuusamo,FI,65.97,29.18,1594685186,40,93,51.8,5.82
Iringa,TZ,-7.77,35.7,1594685186,5,59,60.8,11.41
Dudinka,RU,69.41,86.18,1594685187,75,93,53.6,2.24
Tazovsky,RU,67.47,78.7,1594685187,69,84,44.56,18.57
Kruisfontein,ZA,-34.0,24.73,1594685187,62,60,47.41,14.07
Brae,GB,60.4,-1.35,1594685187,99,93,53.6,12.75
Beckley,US,37.78,-81.19,1594684979,1,53,75.2,5.82
Vilyuysk,RU,63.76,121.62,1594685188,8,48,76.68,2.62
Yeppoon,AU,-23.13,150.73,1594685188,0,38,60.8,14.99
Moskovskiy,RU,55.6,37.35,1594685189,90,100,64.0,8.95
Bereket,TM,39.24,55.52,1594685189,12,45,80.87,2.15
Esperance,AU,-33.87,121.9,1594685189,75,26,57.2,20.8
Lafiagi,NG,8.87,5.42,1594685190,92,92,73.36,4.72
Ponta Delgada,PT,37.73,-25.67,1594685084,20,82,66.2,9.17
Portel,BR,-1.94,-50.82,1594685190,34,83,76.51,4.0
Hutchinson,US,38.06,-97.93,1594684891,1,43,91.4,17.22
Yangjiang,CN,21.85,111.97,1594685191,1,82,82.26,3.98
Bauchi,NG,10.5,10.0,1594685191,99,90,72.32,6.89
Kendari,ID,-3.94,122.5,1594685191,78,91,75.43,2.59
Edgewater,US,28.99,-80.9,1594685191,20,62,87.8,10.29
Ulaanbaatar,MN,47.91,106.88,1594685171,20,77,60.8,4.63
Caravelas,BR,-17.71,-39.25,1594685192,13,89,71.37,5.5
Nanortalik,GL,60.14,-45.24,1594685192,100,93,44.64,2.89
Baruun-Urt,MN,46.68,113.28,1594685192,100,62,70.5,2.59
Neyshabur,IR,36.21,58.8,1594685192,1,27,72.77,2.55
Los Alamos,US,35.89,-106.31,1594685193,1,18,86.0,28.86
Skegness,GB,53.14,0.34,1594685075,75,82,61.0,4.7
Olafsvik,IS,64.89,-23.71,1594685193,89,80,51.69,0.92
Muzhi,RU,65.37,64.67,1594685194,6,70,51.51,10.31
Hambantota,LK,6.12,81.12,1594685194,59,82,81.23,13.67
Mabaruma,GY,8.2,-59.78,1594685194,3,95,75.22,2.98
Vicuña,CL,-30.03,-70.71,1594685194,0,52,59.0,5.5
Cabo San Lucas,MX,22.89,-109.91,1594685195,5,66,91.0,11.41
Pangnirtung,CA,66.15,-65.71,1594685195,75,52,55.38,4.07
Anchorage,US,61.22,-149.9,1594684964,90,48,66.99,6.93
Port Moresby,PG,-9.44,147.18,1594685195,40,83,82.4,7.61
Sulęcin,PL,52.44,15.12,1594685196,53,85,53.01,3.33
Bacalar,MX,18.67,-88.38,1594685196,40,66,86.0,11.41
San Patricio,MX,19.22,-104.7,1594685196,20,74,87.8,11.41
Hargeisa,SO,9.56,44.06,1594685196,97,56,71.62,25.23
General Pico,AR,-35.66,-63.76,1594685197,0,62,38.82,3.78
Te Anau,NZ,-45.42,167.72,1594685197,39,85,39.09,0.65
Amazar,RU,53.86,120.88,1594685197,97,55,76.98,0.89
Sisophon,KH,13.59,102.97,1594685198,85,86,78.37,4.7
Okha,RU,53.57,142.95,1594685198,100,87,54.48,5.99
Margate,GB,51.38,1.39,1594685199,100,65,68.0,1.01
Isangel,VU,-19.55,169.27,1594685199,40,78,77.0,4.7
Aktash,RU,50.3,87.73,1594685199,100,99,43.02,3.8
Stokmarknes,NO,68.56,14.91,1594685201,64,87,53.01,1.01
Timizart,DZ,36.8,4.27,1594685201,1,87,69.12,2.17
Yar-Sale,RU,66.83,70.83,1594685201,88,72,51.13,15.01
Onverwacht,SR,5.58,-55.18,1594685202,20,83,80.6,6.93
Kolosovka,RU,56.47,73.61,1594685202,12,85,60.51,8.32
Ulladulla,AU,-35.35,150.47,1594685202,75,100,53.01,17.22
Solnechnyy,RU,50.72,136.63,1594685203,84,73,70.29,5.5
Sydney,AU,-33.87,151.21,1594684970,75,72,60.8,33.33
Klaksvík,FO,62.23,-6.59,1594685204,99,100,50.0,6.93
Korla,CN,41.76,86.15,1594685204,49,52,77.0,1.01
Kostanay,KZ,53.17,63.58,1594685205,0,68,64.4,4.47
Karksi-Nuia,EE,58.1,25.56,1594685205,0,92,51.01,3.91
Avaré,BR,-23.1,-48.93,1594685205,40,82,64.76,3.49
Kautokeino,NO,69.01,23.04,1594685205,9,85,46.09,7.78
Dauphin,CA,51.15,-100.05,1594684947,90,87,60.8,6.93
Ketchikan,US,55.34,-131.65,1594685206,90,67,62.6,9.17
Verāval,IN,20.9,70.37,1594685206,98,83,82.94,11.95
Sept-Îles,CA,50.2,-66.38,1594685206,75,63,64.0,9.17
Novosokol'niki,RU,56.35,30.16,1594685206,36,87,49.33,5.12
Ishurdi,BD,24.13,89.08,1594685207,99,91,80.31,6.73
Bogotol,RU,56.21,89.53,1594685207,100,80,62.83,2.42
Viedma,AR,-40.81,-63.0,1594685207,0,66,41.83,14.16
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1594685207,90,93,53.6,2.24
Port Blair,IN,11.67,92.75,1594685208,100,79,81.21,10.92
Zacualpan,MX,21.25,-105.17,1594685208,75,74,78.8,6.93
Khovd,MN,48.01,91.64,1594685208,100,52,59.85,2.46
Mossamedes,AO,-15.2,12.15,1594685208,0,82,61.47,1.72
Sittwe,MM,20.15,92.9,1594685209,100,88,79.93,8.84
Hamamatsu,JP,34.7,137.73,1594685209,100,97,75.0,2.1
Ugoofaaru,MV,5.67,73.0,1594685210,53,67,83.82,4.92
Yulara,AU,-25.24,130.99,1594685210,0,60,41.0,5.82
Waitati,NZ,-45.75,170.57,1594685210,4,68,46.99,3.0
Uusikaupunki,FI,60.8,21.41,1594685210,1,100,42.8,2.24
Hudson Bay,CA,52.85,-102.38,1594685210,68,70,64.67,11.34
Ancud,CL,-41.87,-73.82,1594685211,40,86,39.2,2.24
Kizner,RU,56.27,51.51,1594685211,10,94,69.64,7.4
Gengenbach,DE,48.4,8.02,1594685211,66,73,62.01,4.25
Nuuk,GL,64.18,-51.72,1594685212,4,93,41.0,9.17
Yinchuan,CN,38.47,106.27,1594685212,42,52,76.96,6.46
Sidi Ali,DZ,36.1,0.42,1594685212,0,83,70.97,5.28
Hurghada,EG,27.26,33.81,1594685212,0,37,85.1,14.32
Maragogi,BR,-9.01,-35.22,1594685213,14,83,73.99,3.62
Progreso,MX,21.28,-89.67,1594685213,40,66,87.01,4.7
George,ZA,-33.96,22.46,1594685213,58,61,50.0,24.16
At-Bashi,KG,41.17,75.81,1594685214,98,62,53.35,1.52
Port Lincoln,AU,-34.73,135.87,1594685214,0,78,54.68,9.69
Vardø,NO,70.37,31.11,1594685214,75,93,44.6,13.87
Ankang,CN,32.68,109.02,1594685214,98,85,69.8,1.77
Bambuí,BR,-20.01,-45.98,1594685215,0,61,66.29,2.98
Cockburn Town,TC,21.46,-71.14,1594685215,7,84,83.46,15.52
Bukoba,TZ,-1.33,31.81,1594685215,12,62,67.5,2.51
Campos do Jordão,BR,-22.74,-45.59,1594685215,25,53,73.4,2.24
Tibati,CM,6.47,12.63,1594685215,100,95,67.17,4.18
Grants,US,35.15,-107.85,1594685216,40,52,69.8,8.05
Ziro,IN,27.63,93.83,1594685216,99,100,60.15,0.67
Sorong,ID,-0.88,131.25,1594685106,97,82,79.34,6.35
Witu,KE,-2.39,40.44,1594685216,22,83,74.95,10.51
Cam Ranh,VN,11.92,109.16,1594684967,20,79,84.2,3.36
Lorengau,PG,-2.02,147.27,1594685217,77,71,83.44,5.7
Pervomayskiy,RU,53.25,40.29,1594685217,100,96,62.31,5.59
Ballina,AU,-28.87,153.57,1594685217,6,58,57.2,18.34
